,start_time,end_time,tones_produced_
0,,2024-09-22 05:00:00+00:00,
1,2024-09-22 17:23:00+00:00,2024-09-22 17:28:00+00:00,
2,2024-09-22 17:33:00+00:00,2024-09-22 17:41:00+00:00,0.38043302752293573
3,2024-09-22 17:46:00+00:00,2024-09-23 03:24:00+00:00,33.89696164447732
4,2024-09-23 03:25:00+00:00,2024-09-23 04:56:00+00:00,4.606357870439314
5,2024-09-23 05:54:00+00:00,2024-09-23 07:03:00+00:00,4.347948319327731
6,2024-09-23 07:20:00+00:00,2024-09-23 07:23:00+00:00,
7,2024-09-23 20:34:00+00:00,2024-09-24 06:04:00+00:00,33.98703212166172
8,2024-09-24 06:05:00+00:00,2024-09-24 06:26:00+00:00,0.5197487654320987
9,2024-09-24 06:37:00+00:00,2024-09-24 06:56:00+00:00,0.9860248253968253
10,2024-09-24 07:01:00+00:00,2024-09-24 07:36:00+00:00,2.0068246393442624
11,2024-09-24 07:38:00+00:00,2024-09-24 07:59:00+00:00,0.3752553879310345
12,2024-09-24 08:14:00+00:00,2024-09-24 09:11:00+00:00,3.5333641225626744
13,2024-09-24 09:13:00+00:00,2024-09-24 10:07:00+00:00,3.4088400833333337
14,2024-09-24 10:12:00+00:00,2024-09-24 10:13:00+00:00,0.06617052631578947
15,2024-09-24 10:14:00+00:00,2024-09-24 10:15:00+00:00,
16,2024-09-24 10:37:00+00:00,2024-09-24 10:38:00+00:00,
17,2024-09-24 10:40:00+00:00,2024-09-24 10:41:00+00:00,
18,2024-09-24 10:42:00+00:00,2024-09-24 10:44:00+00:00,
19,2024-09-24 16:43:00+00:00,2024-09-24 16:46:00+00:00,0.015230833333333336
20,2024-09-24 17:05:00+00:00,,
